prompt,seed,case_number,source,coco_id
A large bus on the side of the road.,61730,9976,coco_30k_10k.csv,452321
A small bird standing on a dock on the water.,85754,9985,coco_30k_10k.csv,333294
A green shuttle bus taking a turn on a mountain road.,75269,9990,coco_30k_10k.csv,32648
people at costume party dressed up in costumes,61270,9998,coco_30k_10k.csv,398045
A bus drives down the middle of a street.,93348,10000,coco_30k_10k.csv,78696
Train conductor standing on a moving train next to some trees.,59685,10003,coco_30k_10k.csv,214468
A train turning a corner around a hill outside of an ocean.,70024,10006,coco_30k_10k.csv,161758
A small green train traveling down train tracks.,9134,10009,coco_30k_10k.csv,166896
The cat is standing by the rocking chair in the living room.,71853,10011,coco_30k_10k.csv,15567
Sign on the side of the road welcoming people to Arizona and another sign warning of road work ahead.,59047,10086,coco_30k_10k.csv,269922
A person with a safety vest in front of a bus.,34010,10088,coco_30k_10k.csv,320901
A sign is shown at the edge of a street.,41719,10100,coco_30k_10k.csv,122589
A bird is standing on the small branch outside.,84640,10107,coco_30k_10k.csv,98674
A cat with a tiny hat on top of its head.,17738,10117,coco_30k_10k.csv,285968
A woman in white shirt climbing onto an elephant.,8564,10121,coco_30k_10k.csv,18896
"An old, rusty fire hydrant, in front of the pole.",3648,10126,coco_30k_10k.csv,218751
Woman out running errands on her bicycle in the street.,3048,10134,coco_30k_10k.csv,249720
A turkey that is cooking in a large roaster oven on the counter.,54849,10143,coco_30k_10k.csv,69536
That looks like a wall mural in the background of this photo with a lot of sheet.,11804,10148,coco_30k_10k.csv,173574
A picture of a red bus waiting for passengers.,3112,10156,coco_30k_10k.csv,391187
The bluebird is just sitting quietly on the branch.,66745,10157,coco_30k_10k.csv,396252
A black and white picture of a bird flying over a ocean,51929,10168,coco_30k_10k.csv,191425
Single train parked at a train station on a clear day.,44651,10188,coco_30k_10k.csv,206994
Several books are stacked on a table.,86634,10191,coco_30k_10k.csv,82258
"lots of sheep grazing on a hillside, with people in background",94588,10193,coco_30k_10k.csv,206933
a stack of traffic signs on a pole next to a street.,17835,10197,coco_30k_10k.csv,11615
Several birds with black and yellow feathers sitting on some branches.,83916,10201,coco_30k_10k.csv,284594
A lot of birds on logs floating in the water.,98080,10209,coco_30k_10k.csv,446637
A high speed train is seen in the station.,25971,10211,coco_30k_10k.csv,159684
Large clock tower overlooking a busy street during the day.,4473,10214,coco_30k_10k.csv,579859
A man with his shirt off sitting by the shoreline sunning himself.,86689,10220,coco_30k_10k.csv,49259
A wooden bench has a company advertise on it.,66118,10223,coco_30k_10k.csv,189782
A train engine is sitting at a train station.,94971,10232,coco_30k_10k.csv,286021
Three giraffes are eating food from the feeder.,70410,10239,coco_30k_10k.csv,126638
A red fire hydrant with a sticker of several animals on it,63628,10240,coco_30k_10k.csv,204871
A group of birds and a man in a small boat.,89197,10244,coco_30k_10k.csv,563056
a blue bird sitting on someone's arm in a room,6295,10263,coco_30k_10k.csv,558169
A wooden bench on the ground next to some trees.,58795,10287,coco_30k_10k.csv,3217
"An intersection with a street sign, a person and a stop sign",90571,10301,coco_30k_10k.csv,475882
A street sign is underneath a concrete overpass.,84899,10336,coco_30k_10k.csv,379190
a train on a train track at a station,46728,10344,coco_30k_10k.csv,231691
Several different fire hydrants that have been painted various colors.,98867,10349,coco_30k_10k.csv,338191
A building in the sky that has the lights on.,49315,10357,coco_30k_10k.csv,571242
A traffic light hanging over a street next to cross walks.,14226,10373,coco_30k_10k.csv,155671
A street sign prohibiting vehicles in front of a store.,17074,10377,coco_30k_10k.csv,276707
A giraffe that is standing up in the grass.,29963,10382,coco_30k_10k.csv,76026
a picture of a bunch of train cars colored red.,89858,10391,coco_30k_10k.csv,87503
A group of animals grazing on a lush green field.,65253,10416,coco_30k_10k.csv,44699
A traffic light sitting on the side of a road.,90587,10421,coco_30k_10k.csv,181007
A female sheep with her two young lambs.,18111,10429,coco_30k_10k.csv,370609
A very cute cat near a bunch of birds.,89154,10434,coco_30k_10k.csv,9041
A fire department with a sign out front,95934,10443,coco_30k_10k.csv,308391
a yellow pipe next to a bricked pavement and a bush.,94319,10454,coco_30k_10k.csv,97767
Birds perch on a bunch of twigs in the winter.,40598,10458,coco_30k_10k.csv,143
A group of men is standing on a sidewalk with buses nearby.,23913,10462,coco_30k_10k.csv,562632
a number of books and magazines near a laptop,76340,10466,coco_30k_10k.csv,257629
Two giraffe moving very quickly in the woods.,82550,10488,coco_30k_10k.csv,211069
Sheep graze in a large field with trees behind them.,45278,10495,coco_30k_10k.csv,156195
A bus approaching an intersection at a green light.,31003,10508,coco_30k_10k.csv,271917
a green and white bus pulling up to a bus stop in a city,17072,10518,coco_30k_10k.csv,98431
A wooden bench sitting on top of a grass hillside near the ocean.,7738,10522,coco_30k_10k.csv,182179
A man herding sheep into an open pen.,61644,10532,coco_30k_10k.csv,286327
A giraffe drinking water from a  river on a beach.,68121,10539,coco_30k_10k.csv,15085
A train traveling through a lush green rural countryside.,50239,10541,coco_30k_10k.csv,567315
A yellow and blue train traveling along tracks.,3650,10545,coco_30k_10k.csv,143217
a tour boat resting in  the water next to a dock and underneath a bridge,31916,10547,coco_30k_10k.csv,40894
That aircraft is for display not for riding.,2897,10564,coco_30k_10k.csv,78979
A traffic light sitting above a street with vehicles.,35254,10565,coco_30k_10k.csv,539310
A dark and gloomy winter day in the city,66489,10618,coco_30k_10k.csv,100594
many cars driving on a city street near trees,65255,10622,coco_30k_10k.csv,514417
A large bird standing on top of a wooden post.,5565,10627,coco_30k_10k.csv,250680
A giraffe standing next to a forest on top of a field.,43478,10632,coco_30k_10k.csv,542248
A lush green forest filled with lots of trees.,16404,10638,coco_30k_10k.csv,472030
A herd of sheep standing on top of a lush green field,74378,10650,coco_30k_10k.csv,375449
A stop sign that has various stickers on it.,81767,10659,coco_30k_10k.csv,76648
An orange sign that has a picture of a man holding a flag.,99055,10660,coco_30k_10k.csv,266363
A group of sheep sitting next to a tree.,78066,10671,coco_30k_10k.csv,178994
A train covered in graffiti on top of train tracks.,45079,10680,coco_30k_10k.csv,368456
